"1616109685000.jpg" :{"time" :1616109685000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.977928 ,"N":28.240301,"H":176.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109686000.jpg" :{"time" :1616109686000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.977936 ,"N":28.240301,"H":175.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109687000.jpg" :{"time" :1616109687000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.977943 ,"N":28.240299,"H":174.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109688000.jpg" :{"time" :1616109688000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.977951 ,"N":28.240301,"H":173.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109689000.jpg" :{"time" :1616109689000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.977959 ,"N":28.240301,"H":173.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109690000.jpg" :{"time" :1616109690000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.977974 ,"N":28.240301,"H":172.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109691000.jpg" :{"time" :1616109691000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.977982 ,"N":28.240303,"H":171.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109692000.jpg" :{"time" :1616109692000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.977989 ,"N":28.240305,"H":170.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109693000.jpg" :{"time" :1616109693000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.977989 ,"N":28.240309,"H":169.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109694000.jpg" :{"time" :1616109694000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.977997 ,"N":28.240313,"H":168.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109695000.jpg" :{"time" :1616109695000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.977997 ,"N":28.240314,"H":168.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109696000.jpg" :{"time" :1616109696000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978004 ,"N":28.240314,"H":167.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109697000.jpg" :{"time" :1616109697000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978004 ,"N":28.240314,"H":167.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109698000.jpg" :{"time" :1616109698000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978012 ,"N":28.240313,"H":166.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109699000.jpg" :{"time" :1616109699000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978020 ,"N":28.240311,"H":165.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109700000.jpg" :{"time" :1616109700000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978020 ,"N":28.240309,"H":165.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109701000.jpg" :{"time" :1616109701000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978027 ,"N":28.240309,"H":164.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109702000.jpg" :{"time" :1616109702000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978035 ,"N":28.240309,"H":162.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109703000.jpg" :{"time" :1616109703000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978035 ,"N":28.240309,"H":161.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109704000.jpg" :{"time" :1616109704000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978043 ,"N":28.240309,"H":160.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109705000.jpg" :{"time" :1616109705000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978043 ,"N":28.240309,"H":159.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109706000.jpg" :{"time" :1616109706000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978043 ,"N":28.240307,"H":158.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109707000.jpg" :{"time" :1616109707000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978043 ,"N":28.240303,"H":158.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109708000.jpg" :{"time" :1616109708000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978043 ,"N":28.240303,"H":157.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109709000.jpg" :{"time" :1616109709000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978043 ,"N":28.240303,"H":156.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109710000.jpg" :{"time" :1616109710000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978043 ,"N":28.240303,"H":156.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109711000.jpg" :{"time" :1616109711000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978043 ,"N":28.240303,"H":155.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109712000.jpg" :{"time" :1616109712000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978043 ,"N":28.240303,"H":154.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109713000.jpg" :{"time" :1616109713000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978043 ,"N":28.240303,"H":154.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109714000.jpg" :{"time" :1616109714000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978050 ,"N":28.240301,"H":153.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109715000.jpg" :{"time" :1616109715000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978050 ,"N":28.240301,"H":152.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109716000.jpg" :{"time" :1616109716000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978058 ,"N":28.240299,"H":151.000000},"totalSats":80 ,"satellites":9,"quality":1}
